1	3	1	31
2	3	2	12
3	3	4	34
4	3	5	6
5	3	7	5
6	3	8	24
7	3	9	10
8	3	10	2
9	3	11	2
10	3	22	1
11	3	24	5
12	3	25	2
13	3	30	3
14	3	31	1
15	3	35	5
16	3	47	7
17	3	49	2
18	3	52	9
19	3	55	9
20	3	58	2
21	3	59	23
22	3	80	2
23	3	81	6
24	3	82	1
25	3	85	7
26	3	96	2
27	3	98	10
28	3	99	1
29	3	101	2
30	3	102	1
31	3	103	8
32	3	104	7
33	3	105	6
34	3	107	2
35	3	108	2
36	3	114	7
37	3	147	10
38	4	1	7
39	4	2	4
40	4	3	2
41	4	8	5
42	4	59	9
43	4	98	1
44	4	103	1
45	4	104	5
46	4	147	2
47	5	1	12
48	5	2	19
49	5	3	12
50	5	4	22
51	5	7	4
52	5	8	10
53	5	9	4
54	5	30	1
55	5	35	3
56	5	47	3
57	5	52	3
58	5	55	2
59	5	58	6
60	5	59	27
61	5	81	3
62	5	85	2
63	5	98	7
64	5	101	1
65	5	102	1
66	5	103	5
67	5	104	6
68	5	105	5
69	5	114	7
70	5	147	9
71	7	1	26
72	7	2	24
73	7	3	4
74	7	4	23
75	7	5	6
76	7	8	16
77	7	9	4
78	7	30	1
79	7	47	3
80	7	52	2
81	7	55	2
82	7	58	2
83	7	59	15
84	7	81	2
85	7	85	4
86	7	98	13
87	7	99	1
88	7	101	1
89	7	102	1
90	7	103	4
91	7	104	8
92	7	105	3
93	7	114	6
94	7	147	8
95	8	1	13
96	8	2	15
97	8	3	4
98	8	4	13
99	8	5	3
100	8	7	1
101	8	9	2
102	8	52	1
103	8	55	1
104	8	58	1
105	8	59	6
106	8	85	2
107	8	98	9
108	8	103	3
109	8	104	3
110	8	114	1
111	8	147	3
112	10	1	16
113	10	2	14
114	10	3	1
115	10	4	5
116	10	8	10
117	10	9	2
118	10	59	2
119	10	98	1
120	10	103	1
121	10	104	1
122	10	147	2
123	11	1	62
124	11	2	48
125	11	3	5
126	11	4	64
127	11	5	14
128	11	7	11
129	11	8	37
130	11	9	6
131	11	10	2
132	11	12	2
133	11	16	1
134	11	18	2
135	11	19	1
136	11	22	1
137	11	23	7
138	11	24	4
139	11	25	3
140	11	28	1
141	11	29	3
