1	3
2	4
3	5
4	6
5	7
6	8
7	10
8	11
9	12
10	13
11	14
12	15
13	16
14	17
15	18
16	19
17	20
18	21
19	22
20	23
21	24
22	25
23	26
24	27
25	28
26	30
27	31
28	32
29	33
30	34
31	35
32	36
33	37
34	38
35	39
36	40
37	41
38	42
39	43
40	44
41	45
42	46
43	47
44	48
45	49
46	50
47	51
48	52
49	53
50	54
51	55
52	56
53	57
54	58
55	59
56	62
57	63
58	64
59	65
60	66
61	67
62	68
63	69
64	70
65	71
66	72
67	73
68	74
69	76
70	77
71	79
72	80
73	81
74	82
75	83
76	84
77	86
78	87
79	88
80	89
81	90
82	91
83	92
84	94
85	95
86	96
87	97
88	98
89	99
90	100
91	101
92	102
93	104
94	106
95	107
96	108
97	109
98	110
99	111
100	112
101	113
102	114
103	115
104	116
105	117
106	118
107	119
108	120
