1	1
2	2
3	4
4	5
5	7
6	8
7	9
8	10
9	11
10	22
11	24
12	25
13	30
14	31
15	35
16	47
17	49
18	52
19	55
20	58
21	59
22	80
23	81
24	82
25	85
26	96
27	98
28	99
29	101
30	102
31	103
32	104
33	105
34	107
35	108
36	114
37	147
38	3
39	12
40	16
41	18
42	19
43	23
44	28
45	29
46	33
47	36
48	38
49	44
50	48
51	54
52	67
53	72
54	74
55	83
56	86
57	87
58	88
59	91
60	92
61	106
62	109
63	112
64	113
65	117
66	62
67	94
68	120
69	13
70	15
71	42
72	50
73	66
74	115
75	116
76	32
77	39
78	41
79	69
80	76
81	63
82	64
83	77
84	89
85	51
86	65
87	79
88	57
89	68
90	71
91	73
92	20
93	34
94	110
95	119
